,Unnamed: 0,Unnamed: 0.1,y_weak,y_strong,90strongest
0,0,0,0.380165289256,0.405660377358,0.0138888888889
1,1,1,0.0826446280992,0.103773584906,0.0138888888889
2,2,2,0.876033057851,0.707547169811,0.722222222222
3,3,3,0.421487603306,0.603773584906,0.666666666667
4,4,4,0.95041322314,0.933962264151,0.888888888889
5,5,5,0.561983471074,0.669811320755,0.694444444444
6,6,6,1.0,0.952830188679,0.902777777778
7,7,7,0.735537190083,0.877358490566,0.791666666667
8,8,8,0.99173553719,0.981132075472,1.0
9,9,9,0.0743801652893,0.632075471698,0.527777777778
10,10,10,0.561983471074,0.622641509434,0.472222222222
11,11,11,0.0330578512397,0.0377358490566,0.0277777777778
12,12,12,0.652892561983,0.537735849057,0.569444444444
13,13,13,0.933884297521,0.905660377358,0.972222222222
14,14,14,0.727272727273,0.688679245283,0.861111111111
15,15,15,0.132231404959,0.0471698113208,0.0138888888889
16,16,16,0.677685950413,0.698113207547,0.902777777778
17,17,17,0.388429752066,0.632075471698,0.694444444444
18,18,18,0.107438016529,0.11320754717,0.166666666667
19,19,19,0.504132231405,0.132075471698,0.0555555555556
20,20,20,0.876033057851,0.943396226415,0.888888888889
21,21,21,0.181818181818,0.405660377358,0.0
22,22,22,0.900826446281,0.915094339623,1.0
23,23,23,0.0330578512397,0.11320754717,0.0277777777778
24,24,24,0.685950413223,0.679245283019,0.75
25,25,25,0.297520661157,0.311320754717,0.319444444444
26,26,26,0.545454545455,0.254716981132,0.305555555556
27,27,27,0.876033057851,0.943396226415,0.888888888889
28,28,28,0.471074380165,0.141509433962,0.0555555555556
29,29,29,0.413223140496,0.330188679245,0.208333333333
30,30,30,0.553719008264,0.122641509434,0.152777777778
31,31,31,0.0247933884298,0.0188679245283,0.0833333333333
