,Unnamed: 0,y_weak,y_strong
0,0,0.380165289256,0.405660377358
1,1,0.0826446280992,0.103773584906
2,2,0.876033057851,0.707547169811
3,3,0.421487603306,0.603773584906
4,4,0.95041322314,0.933962264151
5,5,0.561983471074,0.669811320755
6,6,1.0,0.952830188679
7,7,0.735537190083,0.877358490566
8,8,0.99173553719,0.981132075472
9,9,0.0743801652893,0.632075471698
10,10,0.561983471074,0.622641509434
11,11,0.0330578512397,0.0377358490566
12,12,0.652892561983,0.537735849057
13,13,0.933884297521,0.905660377358
14,14,0.727272727273,0.688679245283
15,15,0.132231404959,0.0471698113208
16,16,0.677685950413,0.698113207547
17,17,0.388429752066,0.632075471698
18,18,0.107438016529,0.11320754717
19,19,0.504132231405,0.132075471698
20,20,0.876033057851,0.943396226415
21,21,0.181818181818,0.405660377358
22,22,0.900826446281,0.915094339623
23,23,0.0330578512397,0.11320754717
24,24,0.685950413223,0.679245283019
25,25,0.297520661157,0.311320754717
26,26,0.545454545455,0.254716981132
27,27,0.876033057851,0.943396226415
28,28,0.471074380165,0.141509433962
29,29,0.413223140496,0.330188679245
30,30,0.553719008264,0.122641509434
31,31,0.0247933884298,0.0188679245283
