,gamma_range,0.0009765625,0.0045567540608442061,0.021262343752724643,0.099212565748012488,0.46293735614364534,2.1601194777846118,10.079368399158989,47.031503752819212,219.45445961038678,1024.0
0,0.0009765625,0.8421875,0.8421875,0.8421875,0.8421875,0.8421875,0.8421875,0.8421875,0.853125,0.846875,0.8375
1,0.00455675406084,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.8546875,0.85,0.8375,0.8109375
2,0.0212623437527,0.846875,0.846875,0.846875,0.846875,0.846875,0.8515625,0.853125,0.828125,0.8,0.7875
3,0.099212565748,0.8484375,0.8484375,0.8484375,0.8484375,0.8515625,0.8515625,0.8140625,0.7875,0.7828125,0.79375
4,0.462937356144,0.8640625,0.8640625,0.8640625,0.8640625,0.8359375,0.8109375,0.7953125,0.796875,0.8328125,0.828125
5,2.16011947778,0.8421875,0.8421875,0.8421875,0.8421875,0.8609375,0.8125,0.80625,0.7859375,0.75625,0.7640625
6,10.0793683992,0.859375,0.859375,0.859375,0.859375,0.865625,0.8265625,0.7859375,0.7265625,0.721875,0.7265625
7,47.0315037528,0.8078125,0.8078125,0.809375,0.809375,0.8046875,0.7640625,0.73125,0.7296875,0.73125,0.73125
8,219.45445961,0.74140625,0.74453125,0.753125,0.75625,0.75625,0.746875,0.7453125,0.746875,0.746875,0.746875
9,1024.0,0.61328125,0.63125,0.64140625,0.65546875,0.6640625,0.66796875,0.66640625,0.66640625,0.66640625,0.66640625
