,Unnamed: 0,Unnamed: 0.1,y_origin,y_pca,y_tree
0,0,0,0.425796051084,0.297346807398,0.387518364766
1,1,1,0.093461533166,0.168142049486,0.155839664504
2,2,2,0.801894106599,0.804099451297,0.681985965616
3,3,3,0.486474756377,0.71594525778,0.523591722718
4,4,4,0.874951058923,0.792483035443,0.791879514792
5,5,5,0.693929229643,0.717646583892,0.885207796891
6,6,6,0.756607197649,0.752923639967,0.590614039316
7,7,7,0.80224722965,0.718434408561,0.887655942498
8,8,8,0.889454541568,0.78401943115,0.893429401905
9,9,9,0.318547279297,0.195770584743,0.337504354782
10,10,10,0.786703341427,0.747738824274,0.5
11,11,11,0.0951195954847,0.150781574589,0.167309072884
12,12,12,0.357003840211,0.772543870426,0.370487481513
13,13,13,0.889553944346,0.786820153482,0.823595539606
14,14,14,0.876071371494,0.222108731767,0.695568386966
15,15,15,0.127362747403,0.169523055048,0.170493813102
16,16,16,0.666790571245,0.320501275656,0.50914637052
17,17,17,0.480614953845,0.676087063035,0.391681202179
18,18,18,0.100372368945,0.152557710489,0.173368228169
19,19,19,0.372697493544,0.179242451423,0.346625634428
20,20,20,0.761940757684,0.767386064608,0.830212081098
21,21,21,0.480324992529,0.394020997075,0.41781446044
22,22,22,0.916239691169,0.795619216767,0.891741187906
23,23,23,0.110802293316,0.163582033151,0.226037675834
24,24,24,0.699943905864,0.715633832085,0.89342940365
25,25,25,0.489988178855,0.668116351479,0.447921342569
26,26,26,0.710654746928,0.656137960372,0.403480777658
27,27,27,0.761940757684,0.767386064608,0.830212081098
28,28,28,0.361381778498,0.175743190417,0.342557870682
29,29,29,0.312157685269,0.372780563065,0.26376561188
30,30,30,0.469538049396,0.293661155151,0.316168170283
31,31,31,0.102338662156,0.145912300865,0.16631522329
