,bag
0,0.520833333333
1,0.75
2,0.75
3,0.770833333333
4,0.770833333333
5,0.791666666667
6,0.8125
7,0.791666666667
8,0.791666666667
9,0.791666666667
10,0.791666666667
11,0.770833333333
12,0.791666666667
13,0.791666666667
14,0.791666666667
15,0.791666666667
16,0.791666666667
17,0.791666666667
18,0.791666666667
19,0.791666666667
20,0.791666666667
21,0.791666666667
22,0.791666666667
23,0.8125
24,0.791666666667
25,0.791666666667
26,0.791666666667
27,0.791666666667
28,0.791666666667
29,0.791666666667
30,0.791666666667
31,0.791666666667
32,0.791666666667
33,0.791666666667
34,0.791666666667
35,0.791666666667
36,0.791666666667
37,0.791666666667
38,0.791666666667
39,0.791666666667
40,0.791666666667
41,0.791666666667
42,0.791666666667
43,0.791666666667
44,0.791666666667
45,0.791666666667
46,0.791666666667
47,0.791666666667
48,0.791666666667
49,0.791666666667
50,0.791666666667
